cmd,input_size,output_size,compress_time,decompress_time,ratio,compress_speed,decompress_speed,compress_anchor,decompress_anchor
gzip,1000000118,340311257,134.1161739510003,6.513408282,0.3403112168432764,7456223.127609894,153529469.47353667,south,west
gzip\_9,1000000118,330773845,393.185274121,6.4179250279999,0.3307738059686909,2543330.5462306226,155813617.89631918,south,south
pigz,1000000118,340702927,7.125271501000043,3.6554937800001426,0.34070288679705935,140345545.8307306,273560886.2121935,south,west
bzip2,1000000118,278383091,66.88321414799975,40.81933008299984,0.2783830581507991,14951436.331800548,24498200.14112562,west,west
bzip2\_9,1000000118,278383091,66.94260280399976,40.871075808000114,0.2783830581507991,14938172.047595538,24467183.6556908,south,east
xz,1000000118,278840080,95.69861413499984,13.910522224000033,0.27884004709687443,10449473.34962785,71888035.68241923,north,south
fqzcomp\_q2,1000000118,225370319,19.2222861690002,22.20540149899989,0.2253702924063055,52022954.460677065,45034093.08068755,north,north
fqzcomp\_q3,1000000118,221638394,19.636070458000177,22.825423354999657,0.2216383678466726,50926692.2900339,43810802.649623625,south,east
genozip,1000000118,237763807,8.317603712000164,6.815565329000037,0.23776377894387407,120226949.08597976,146722989.17670524,north,north
spring,1000000118,226570240,45.084717331999855,11.697099590999642,0.22657021326471483,22180467.732249223,85491288.69257917,south,south
dsrc2,1000000118,237220780,3.9965267949996814,4.6822320470000705,0.23722075200795126,250217293.4887278,213573378.67112014,south,south
idencomp,1000000118,339507183,28.436743578999994,13.291452893000042,0.33950714293815715,35165774.70348895,75236328.64294702,south,east
idencomp\_fast,1000000118,343182431,6.528904401000091,12.536257162000311,0.3431823905044779,153165072.8178561,79768634.69514516,west,north
